Group,,instance,neuron,electrodeNo,x,y,neuronConductionVel,totalAxonLen,longestBranchLen,longestDistFromInitSite,longestLat,amplitudeInitSite,totNoSpikes,neuronFiringRate,isiViolationRate,fisherProjectionDistance,silhouetteScore,spikesNoPerConfig_mean,completeness,date,wellplateID,wellNo,runID,assayTag,div,wellGroupName,wellGroupColor,Plating Date,control
Group,Instance,Instance,,Electrode Number,x Position,y Position,Neuron Conduction Velocity,Total Axon Length, Longest Branch Length,Longest Distance From Initiation Site,Longest Latency,Amplitude at Initiation Site,Total Number of Spikes,Neuron Firing Rate,ISI Violation Rate,Fisher Projection Distance,Silhouette Score,Mean Number Spikes per Config,Footprint Completeness,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,DIV,Well Group Name,Well Group Color,,Control
1,0,1,2,23562,385,1872.5,N/A,N/A,N/A,N/A,N/A,118.4,56,0.23,0,1.23,0.08,14,1,4/30/2024,M05357,1,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,1,2,6,9763,1452.5,770,0.407,151.4,151.4,158.5,0.5,169.1,134,0.56,0,8.71,0.55,33,1,4/30/2024,M05357,2,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,2,2,12,14199,2082.5,1120,N/A,N/A,N/A,N/A,N/A,245.9,60,0.25,0,18.28,0.66,15,0.75,4/30/2024,M05357,2,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,3,4,4,5096,630,402.5,0.344,172.2,172.2,222.7,0.5,238.4,69,0.29,37.89,3.11,0.61,17,0.75,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,4,4,5,2659,332.5,210,N/A,N/A,N/A,N/A,N/A,433.2,101,0.42,0,8.75,0.57,25,1,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,5,4,6,22099,1732.5,1750,0.318,84.5,84.5,72.2,0.3,221.5,68,0.28,0,9.15,0.49,17,1,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,6,4,7,2671,542.5,210,0.357,919.1,296,432.2,1.35,95.5,51,0.21,0,5.04,0.38,12,0.75,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,7,4,10,20570,1925,1627.5,0.399,123.6,123.6,89.2,0.35,246.9,68,0.28,0,7.65,0.53,17,1,4/30/2024,M05357,4,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,8,5,7,16841,2117.5,1330,0.461,339.6,202.6,186,0.6,91.2,137,0.57,0,4.85,0.31,34,0.75,4/30/2024,M05357,5,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,9,5,8,15332,2660,1207.5,N/A,N/A,N/A,N/A,N/A,465.8,76,0.32,0,8.05,0.54,19,1,4/30/2024,M05357,5,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,10,6,1,16604,1820,1312.5,0.471,176.1,176.1,117.4,0.4,521.7,219,0.91,0,12.79,0.61,54,1,4/30/2024,M05357,6,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,11,6,4,13044,1120,1032.5,N/A,N/A,N/A,N/A,N/A,172.5,138,0.57,0,6.4,0.53,34,1,4/30/2024,M05357,6,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,12,6,6,13534,1995,1067.5,0.396,193.7,193.7,123.7,0.45,237.4,129,0.54,0,11.96,0.6,32,1,4/30/2024,M05357,6,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,13,6,7,4917,1347.5,385,N/A,N/A,N/A,N/A,N/A,271.9,72,0.3,0,15.42,0.53,18,1,4/30/2024,M05357,6,32,DOP6 W3 Organoids M05357,6,Default Group,#999999,24.4.2024,0
1,14,7,3,11119,2082.5,875,N/A,N/A,N/A,N/A,N/A,1183.7,51,0.28,433.31,13.53,0.11,17,1,4/30/2024,None,1,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,15,7,4,10215,1662.5,805,N/A,N/A,N/A,N/A,N/A,425.1,53,0.29,96.29,2.29,0.11,17,1,4/30/2024,None,1,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,16,7,7,9128,1890,717.5,0.305,182.2,182.2,282.2,0.6,63.2,36,0.2,0,2.45,0.26,12,0.67,4/30/2024,None,1,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,17,8,1,1387,1172.5,105,N/A,N/A,N/A,N/A,N/A,1961.6,119,0.49,0,2.55,0.42,29,1,4/30/2024,None,2,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,18,8,2,12656,2030,997.5,N/A,N/A,N/A,N/A,N/A,373.9,67,0.28,0,22.69,0.57,16,0.75,4/30/2024,None,2,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,19,8,6,14838,1715,1172.5,0.379,251.3,251.3,158.5,0.7,161.8,53,0.22,0,2.93,0.27,13,0.75,4/30/2024,None,2,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,20,9,1,15272,1610,1207.5,0.409,457.4,200.9,127.4,0.45,210.9,39,0.22,0,4.76,0.55,13,0.67,4/30/2024,None,3,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,21,11,2,15730,1925,1242.5,0.232,179.2,179.2,141.1,0.85,123.5,65,0.36,0,N/A,N/A,21,1,4/30/2024,None,5,47,DOP6 W3 Organoids M05368,6,Default Group,#999999,24.4.2024,0
1,22,13,1,15206,455,1207.5,0.435,327.5,193.6,165.1,0.4,666.5,364,0.86,0,16.63,0.64,52,1,5/2/2024,M05357,1,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,23,13,4,13205,87.5,1050,N/A,N/A,N/A,N/A,N/A,710.3,108,0.26,0,14.78,0.72,15,0.86,5/2/2024,M05357,1,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,24,13,7,17848,490,1417.5,0.363,859.6,550.7,248.7,1.55,494,126,0.3,0,6.69,0.43,18,0.86,5/2/2024,M05357,1,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,25,14,3,7135,1662.5,560,0.357,368.7,368.7,354.3,1,655,205,0.57,0,35.41,0.71,34,1,5/2/2024,M05357,2,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,26,14,8,17293,2327.5,1365,0.347,137,137,123.7,0.4,273.9,245,0.68,0,9.73,0.58,40,1,5/2/2024,M05357,2,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,27,15,8,24755,2012.5,1960,N/A,N/A,N/A,N/A,N/A,397.8,420,1.16,0,11.94,0.54,70,1,5/2/2024,M05357,3,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,28,15,9,23863,1802.5,1890,0.422,144.2,144.2,173.2,0.5,448.8,165,0.46,0,6.86,0.45,27,1,5/2/2024,M05357,3,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,29,15,10,12895,2362.5,1015,0.349,173.1,173.1,149.5,0.55,233.1,215,0.6,0,10.5,0.56,35,1,5/2/2024,M05357,3,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,30,15,12,19282,2485,1522.5,0.3,102,102,78.3,0.35,241.2,84,0.23,0,9.9,0.51,14,1,5/2/2024,M05357,3,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,31,16,2,5514,245,437.5,N/A,N/A,N/A,N/A,N/A,1810.9,122,0.29,0,6.46,0.78,17,0.86,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,32,16,3,7071,542.5,560,N/A,N/A,N/A,N/A,N/A,662.4,373,0.89,0,8.51,0.61,53,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,33,16,5,22975,1662.5,1820,0.334,102,102,122.5,0.45,464,134,0.32,0,17.67,0.61,19,0.71,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,34,16,10,2229,507.5,175,0.459,259.3,132.6,136.7,0.5,251.3,95,0.23,0,9.35,0.52,13,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,35,16,12,24088,1890,1907.5,0.404,418.4,249.5,309.6,0.8,617.7,80,0.19,509.82,35.79,0.55,11,0.71,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,36,16,15,20295,962.5,1610,0.38,315.9,199.5,112.1,0.5,249.5,144,0.34,0,12.23,0.54,20,0.86,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,37,16,19,13092,1960,1032.5,0.425,1509.9,607.7,526.5,1.5,114.1,468,1.11,0,7.38,0.44,66,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,38,16,20,6693,1627.5,525,0.387,471.8,221.4,144.3,0.6,132.3,106,0.25,0,9.76,0.6,15,0.86,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,39,16,22,1110,175,87.5,N/A,N/A,N/A,N/A,N/A,201.9,115,0.27,15.92,N/A,N/A,16,0.86,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,40,16,23,6163,52.5,490,N/A,N/A,N/A,N/A,N/A,189.7,266,0.63,2.98,6.15,0.62,38,1,5/2/2024,M05357,4,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,41,17,5,19270,2275,1522.5,0.3,269.6,199.6,144.3,0.7,342.9,80,0.19,0,13.87,0.67,11,0.71,5/2/2024,M05357,5,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,42,17,6,10502,2835,822.5,0.348,208.1,208.1,172.4,0.6,263.2,395,0.94,0,18,0.64,56,1,5/2/2024,M05357,5,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,43,17,9,16214,2695,1277.5,0.414,161.7,161.7,106.4,0.45,268.2,158,0.38,0,7.62,0.58,22,1,5/2/2024,M05357,5,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,44,17,11,17082,2485,1347.5,N/A,N/A,N/A,N/A,N/A,111.7,71,0.17,0,7.05,0.46,10,0.71,5/2/2024,M05357,5,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,45,18,1,16825,1837.5,1330,0.425,843.7,470.7,659,1.15,256.8,323,0.77,0,14.3,0.66,46,1,5/2/2024,M05357,6,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,46,18,5,13534,1995,1067.5,0.358,239,239,210,0.75,296.4,176,0.42,0,8.23,0.59,25,1,5/2/2024,M05357,6,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,47,18,7,17936,2030,1417.5,N/A,N/A,N/A,N/A,N/A,821.7,168,0.4,0,9.26,0.49,24,0.86,5/2/2024,M05357,6,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,48,18,12,4676,980,367.5,N/A,N/A,N/A,N/A,N/A,339.8,126,0.3,0,1.63,0.21,18,1,5/2/2024,M05357,6,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,49,18,15,18334,1295,1452.5,0.386,321.4,179.2,182.7,0.55,183.2,156,0.37,0,8.37,0.52,22,1,5/2/2024,M05357,6,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,50,18,17,4061,1767.5,315,0.33,218.4,218.4,189.3,0.8,101.7,117,0.28,0,9.69,0.54,16,0.86,5/2/2024,M05357,6,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
1,51,18,21,9343,1802.5,735,0.271,140,140,175,0.65,85.3,106,0.25,9.37,3.73,0.37,15,1,5/2/2024,M05357,6,57,DOP8 W3 Organoids M05357,8,Default Group,#999999,24.4.2024,0
